"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","3981","428","null","null",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","1233","170","null","null",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","5225","669","null","null",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","6815","1128","null","null",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","2224","373","null","null",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","1431","238","null","null",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","2161","272","null","null",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","2051","226","null","null",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","1409","188","null","null",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","3384","444","null","null",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","4607","830","null","null",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","3057","404","null","null",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","3710","504","null","null",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","3252","612","null","null",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","1616","229","null","null",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","1510","173","null","null",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","1580","238","null","null",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","2438","399","null","null",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","2972","369","null","null",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","3443","524","null","null",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","3759","526","null","null",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","3506","464","null","null",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","2309","258","null","null",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","6285","770","null","null",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","2925","448","null","null",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","3867","543","null","null",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","1160","115","null","null",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","2628","366","null","null",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","3848","654","null","null",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","3394","515","null","null",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","1469","130","null","null",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","4260","824","null","null",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","3729","694","null","null",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","3277","410","null","null",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","3256","421","null","null",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","3305","770","null","null",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","3880","616","null","null",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","4836","738","null","null",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","3397","546","null","null",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","1994","361","null","null",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","4378","562","null","null",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","4998","730","null","null",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","6157","667","null","null",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","1975","326","null","null",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","1622","227","null","null",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","2579","412","null","null",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","6944","866","null","null",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","3038","640","null","null",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","3321","538","null","null",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","4697","499","null","null",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","4440","811","null","null",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","8078","1019","null","null",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","4404","489","null","null",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","4688","439","null","null",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","3011","462","null","null",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","5726","865","null","null",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","2039","278","null","null",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","5429","628","null","null",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","9069","1149","null","null",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","4645","760","null","null",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","3986","506","null","null",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","4377","529","null","null",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","10974","1222","null","null",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","1051","182","null","null",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","3486","457","null","null",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","6166","890","null","null",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","1350","168","null","null",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","5746","762","null","null",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","6755","968","null","null",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","6343","585","null","null",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","3386","537","null","null",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","5620","648","null","null",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","4821","649","null","null",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","5417","735","null","null",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","5686","904","null","null",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","3107","548","null","null",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","5305","898","null","null",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","4480","486","null","null",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","5076","628","null","null",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","3540","586","null","null",
